【合租】芍药居 芍药居北里 4室次卧,芍药居北里,2450,http://bj.58.com/pinpaigongyu/27656827409599x.shtml
【合租】北苑 北卫新园 4室次卧,北卫新园,2300,http://bj.58.com/pinpaigongyu/27647623224634x.shtml
【合租】北苑 北卫新园 3室主卧,北卫新园,3600,http://bj.58.com/pinpaigongyu/27349535420737x.shtml
【合租】芍药居 吉利家园 4室主卧,吉利家园,3500,http://bj.58.com/pinpaigongyu/27480524407246x.shtml
【合租】亚运村 安慧北里安园 3室次卧,安慧北里安园,2550,http://bj.58.com/pinpaigongyu/27296040850612x.shtml
【整租】芍药居 乐乎公寓 1室1厅,【整租】芍药居,3100,http://bj.58.com/pinpaigongyu/27660252917961x.shtml
【整租】立水桥 乐乎城市青年社区 1室1厅,【整租】立水桥,2799,http://bj.58.com/pinpaigongyu/27636824582066x.shtml
【合租】亚运村 宝石花苑 4室次卧,宝石花苑,2600,http://bj.58.com/pinpaigongyu/27494764788926x.shtml
【合租】回龙观 国风美唐 3室次卧,国风美唐,2900,http://bj.58.com/pinpaigongyu/27634682772299x.shtml
【整租】立水桥 乐乎公寓 1室1厅,【整租】立水桥,2799,http://bj.58.com/pinpaigongyu/27558946094918x.shtml
【合租】昌平县城 昌平区 3室主卧,昌平区,2550,http://bj.58.com/pinpaigongyu/27670204537523x.shtml
【合租】望京 望京西园四区 3室次卧,望京西园四区,2600,http://bj.58.com/pinpaigongyu/27347523832882x.shtml
【合租】望京 望京西园二区 3室主卧,望京西园二区,2800,http://bj.58.com/pinpaigongyu/27482983229225x.shtml
【整租】新宫 乐乎公寓 1室1厅,【整租】新宫,2750,http://bj.58.com/pinpaigongyu/27372503418419x.shtml
【合租】亚运村 金泉家园 5室次卧,金泉家园,2900,http://bj.58.com/pinpaigongyu/27417194891060x.shtml
【合租】四惠 北花园小区 3室主卧,北花园小区,2500,http://bj.58.com/pinpaigongyu/27604267713612x.shtml
【合租】芍药居 芍药居北里 4室次卧,芍药居北里,2500,http://bj.58.com/pinpaigongyu/27358344515115x.shtml
【合租】龙泽 融泽嘉园 3室主卧,融泽嘉园,2180,http://bj.58.com/pinpaigongyu/27670669591227x.shtml
【合租】九棵树 蓝调沙龙雅园 4室主卧,蓝调沙龙雅园,2500,http://bj.58.com/pinpaigongyu/27547435930441x.shtml
【整租】黄村 珺悦国际 1室1厅,珺悦国际,3000,http://bj.58.com/pinpaigongyu/27591938750513x.shtml
【合租】亚运村 大屯里 3室次卧,大屯里,2900,http://bj.58.com/pinpaigongyu/27317276412203x.shtml
【整租】十里河 海纳公寓 1室0厅,【整租】十里河,3000,http://bj.58.com/pinpaigongyu/27628438068143x.shtml
【整租】西红门 乐乎城市青年社区 1室1厅,【整租】西红门,2750,http://bj.58.com/pinpaigongyu/27635761245867x.shtml
【合租】芍药居 芍药居小区 4室主卧,芍药居小区,3000,http://bj.58.com/pinpaigongyu/27346644997574x.shtml
【整租】梨园 魔方公寓梨园店 1室1厅,【整租】梨园,3000,http://bj.58.com/pinpaigongyu/27648435360180x.shtml
【合租】亚运村 育慧里二区 4室主卧,育慧里二区,2600,http://bj.58.com/pinpaigongyu/27594510453058x.shtml
【合租】通州北苑 通州区 3室次卧,通州区,2090,http://bj.58.com/pinpaigongyu/27668979730994x.shtml
【整租】高米店 乐乎青年城市社区 1室1厅,乐乎青年城市社区,2750,http://bj.58.com/pinpaigongyu/27612511414078x.shtml
【整租】立水桥 乐乎城市青年社区 1室1厅,【整租】立水桥,3000,http://bj.58.com/pinpaigongyu/27490810038591x.shtml
【合租】亚运村 育慧里二区 4室主卧,育慧里二区,2600,http://bj.58.com/pinpaigongyu/27594796541378x.shtml
【整租】西红门 星光影视园区 1室1厅,星光影视园区,2750,http://bj.58.com/pinpaigongyu/27570275380555x.shtml
【整租】海子角 乐乎公寓 1室1厅,【整租】海子角,2450,http://bj.58.com/pinpaigongyu/27659374595243x.shtml
【合租】花乡 德鑫家园 3室主卧,德鑫家园,2100,http://bj.58.com/pinpaigongyu/27349769177790x.shtml
【整租】高米店 乐乎城市青年社区 1室0厅,【整租】高米店,2300,http://bj.58.com/pinpaigongyu/27634590257080x.shtml
【整租】上地 六里屯五区 1室1厅,六里屯五区,3400,http://bj.58.com/pinpaigongyu/27324018050751x.shtml
【合租】高碑店 北花园小区 3室主卧,北花园小区,2500,http://bj.58.com/pinpaigongyu/27604374785351x.shtml
【合租】亚运村 安慧北里逸园 4室主卧,安慧北里逸园,3500,http://bj.58.com/pinpaigongyu/27328681879850x.shtml
